,Unnamed: 0,open,high,low,close,volume
0,2023-01-03,130.28,130.9,124.17,125.07,112117471
1,2023-01-04,126.89,128.6557,125.08,126.36,89113633
2,2023-01-05,127.13,127.77,124.76,125.02,80962708
3,2023-01-06,126.01,130.29,124.89,129.62,87754715
4,2023-01-09,130.465,133.41,129.89,130.15,70790813
5,2023-01-10,130.26,131.2636,128.12,130.73,63896155
6,2023-01-11,131.25,133.51,130.46,133.49,69458949
7,2023-01-12,133.88,134.26,131.44,133.41,71379648
8,2023-01-13,132.03,134.92,131.66,134.76,57809719
9,2023-01-17,134.83,137.29,134.13,135.94,63646627
10,2023-01-18,136.815,138.61,135.03,135.21,69672800
11,2023-01-19,134.08,136.25,133.77,135.27,58280413
12,2023-01-20,135.28,138.02,134.22,137.87,80223626
13,2023-01-23,138.12,143.315,137.9,141.11,81760313
14,2023-01-24,140.305,143.16,140.3,142.53,66435142
15,2023-01-25,140.89,142.43,138.81,141.86,65799349
16,2023-01-26,143.17,144.25,141.9,143.96,54105068
17,2023-01-27,143.155,147.23,143.08,145.93,70555843
18,2023-01-30,144.955,145.55,142.85,143.0,64015274
19,2023-01-31,142.7,144.34,142.28,144.29,65874459
20,2023-02-01,143.97,146.61,141.32,145.43,77663633
21,2023-02-02,148.9,151.18,148.17,150.82,118338980
22,2023-02-03,148.03,157.38,147.83,154.5,154357337
23,2023-02-06,152.575,153.1,150.78,151.73,69858306
24,2023-02-07,150.64,155.23,150.64,154.65,83322551
25,2023-02-08,153.88,154.58,151.168,151.92,64120079
26,2023-02-09,153.775,154.33,150.42,150.87,56007143
27,2023-02-10,149.46,151.3401,149.22,151.01,57450708
28,2023-02-13,150.952,154.26,150.92,153.85,62199013
29,2023-02-14,152.12,153.77,150.86,153.2,61707573
30,2023-02-15,153.11,155.5,152.88,155.33,65669252
31,2023-02-16,153.51,156.33,153.3475,153.71,68167942
32,2023-02-17,152.35,153.0,150.85,152.55,59144118
33,2023-02-21,150.2,151.3,148.405,148.48,58867230
34,2023-02-22,148.87,149.95,147.16,148.91,51011305
35,2023-02-23,150.09,150.34,147.24,149.4,48394249
36,2023-02-24,147.11,147.19,145.7202,146.71,55469606
37,2023-02-27,147.71,149.17,147.45,147.92,44998470
38,2023-02-28,147.05,149.08,146.83,147.41,50546998
39,2023-03-01,146.83,147.2285,145.01,145.31,55478991
40,2023-03-02,144.38,146.71,143.9,145.91,52279761
41,2023-03-03,148.045,151.11,147.33,151.03,70732297
42,2023-03-06,153.785,156.3,153.46,153.83,87558028
43,2023-03-07,153.7,154.0299,151.13,151.6,56182028
44,2023-03-08,152.81,153.47,151.83,152.87,47204791
45,2023-03-09,153.559,154.535,150.225,150.59,53833582
46,2023-03-10,150.21,150.94,147.6096,148.5,68572400
47,2023-03-13,147.805,153.14,147.7,150.47,84457122
48,2023-03-14,151.28,153.4,150.1,152.59,73695893
49,2023-03-15,151.19,153.245,149.92,152.99,77167866
50,2023-03-16,152.16,156.46,151.64,155.85,76254419
51,2023-03-17,156.08,156.74,154.28,155.0,98944633
52,2023-03-20,155.07,157.82,154.15,157.4,73641415
53,2023-03-21,157.32,159.4,156.54,159.28,73938285
54,2023-03-22,159.3,162.14,157.81,157.83,75701811
55,2023-03-23,158.83,161.5501,157.68,158.93,67622060
56,2023-03-24,158.86,160.34,157.85,160.25,59256343
57,2023-03-27,159.94,160.77,157.87,158.28,52390266
58,2023-03-28,157.97,158.49,155.98,157.65,45992152
59,2023-03-29,159.37,161.05,159.35,160.77,51305691
60,2023-03-30,161.53,162.47,161.271,162.36,49501689
61,2023-03-31,162.44,165.0,161.91,164.9,68749792
62,2023-04-03,164.27,166.29,164.22,166.17,56976187
63,2023-04-04,166.595,166.84,165.11,165.63,46278295
64,2023-04-05,164.74,165.05,161.8,163.76,51511744
65,2023-04-06,162.43,164.9584,162.0,164.66,45390123
66,2023-04-10,161.42,162.03,160.08,162.03,47716882
67,2023-04-11,162.35,162.36,160.51,160.8,47644217
68,2023-04-12,161.22,162.06,159.78,160.1,50133062
69,2023-04-13,161.63,165.8,161.42,165.56,68445649
70,2023-04-14,164.59,166.32,163.82,165.21,49386480
71,2023-04-17,165.09,165.39,164.03,165.23,40713618
72,2023-04-18,166.1,167.41,165.65,166.47,49923008
73,2023-04-19,165.8,168.16,165.54,167.63,47720166
74,2023-04-20,166.09,167.87,165.56,166.65,52456377
75,2023-04-21,165.05,166.4521,164.49,165.02,58337341
76,2023-04-24,165.0,165.6,163.89,165.33,41949581
77,2023-04-25,165.19,166.305,163.73,163.77,48714063
78,2023-04-26,163.055,165.28,162.8,163.76,44105745
79,2023-04-27,165.19,168.56,165.19,168.41,64902329
80,2023-04-28,168.49,169.85,167.8801,169.68,55275851
81,2023-05-01,169.28,170.45,168.64,169.59,52472936
82,2023-05-02,170.09,170.35,167.54,168.54,48425696
83,2023-05-03,169.5,170.92,167.16,167.45,65136018
84,2023-05-04,164.89,167.04,164.31,165.79,81235427
85,2023-05-05,170.975,174.3,170.76,173.57,113453171
86,2023-05-08,172.48,173.85,172.11,173.5,55962793
87,2023-05-09,173.05,173.54,171.6,171.77,45326874
88,2023-05-10,173.02,174.03,171.9,173.555,53724501
89,2023-05-11,173.85,174.59,172.17,173.75,49514676
90,2023-05-12,173.62,174.06,171.0,172.57,45533138
91,2023-05-15,173.16,173.21,171.47,172.07,37266659
92,2023-05-16,171.99,173.1383,171.7991,172.07,42110293
93,2023-05-17,171.71,172.925,170.4201,172.69,57951604
94,2023-05-18,173.0,175.24,172.58,175.05,65496657
95,2023-05-19,176.39,176.39,174.94,175.16,55809475
96,2023-05-22,173.98,174.71,173.45,174.2,43570932
97,2023-05-23,173.13,173.3794,171.275,171.56,50747263
98,2023-05-24,171.09,172.4183,170.52,171.84,45143488
99,2023-05-25,172.41,173.895,171.69,172.99,56058258
100,2023-05-26,173.32,175.77,173.11,175.43,54834975
101,2023-05-30,176.96,178.99,176.57,177.3,55964401
102,2023-05-31,177.325,179.35,176.76,177.25,99313268
103,2023-06-01,177.7,180.12,176.9306,180.09,68901809
104,2023-06-02,181.03,181.78,179.26,180.95,61996913
105,2023-06-05,182.63,184.951,178.035,179.58,121946497
106,2023-06-06,179.965,180.12,177.43,179.21,64848374
107,2023-06-07,178.44,181.21,177.32,177.82,61944615
108,2023-06-08,177.895,180.84,177.46,180.57,50214881
109,2023-06-09,181.5,182.23,180.63,180.96,48899973
110,2023-06-12,181.27,183.89,180.97,183.79,54754995
111,2023-06-13,182.8,184.15,182.44,183.31,54929129
112,2023-06-14,183.37,184.39,182.02,183.95,57462882
113,2023-06-15,183.96,186.52,183.78,186.01,65433166
114,2023-06-16,186.73,186.99,184.27,184.92,101256225
115,2023-06-20,184.41,186.1,184.41,185.01,49799092
116,2023-06-21,184.9,185.41,182.5901,183.96,49515697
117,2023-06-22,183.74,187.045,183.67,187.0,51245327
118,2023-06-23,185.55,187.56,185.01,186.68,53116996
119,2023-06-26,186.83,188.05,185.23,185.27,48088661
120,2023-06-27,185.89,188.39,185.67,188.06,50730846
121,2023-06-28,187.93,189.9,187.6,189.25,51216801
122,2023-06-29,189.08,190.07,188.94,189.59,46347308
123,2023-06-30,191.63,194.48,191.26,193.97,85213216
124,2023-07-03,193.78,193.88,191.76,192.46,31458198
125,2023-07-05,191.565,192.98,190.62,191.33,46920261
126,2023-07-06,189.84,192.02,189.2,191.81,45156009
127,2023-07-07,191.41,192.67,190.24,190.68,46814998
128,2023-07-10,189.26,189.99,187.035,188.61,59922163
129,2023-07-11,189.16,189.3,186.6,188.08,46638119
130,2023-07-12,189.68,191.7,188.47,189.77,60750248
131,2023-07-13,190.5,191.19,189.78,190.54,41342338
132,2023-07-14,190.23,191.1799,189.63,190.69,41616242
133,2023-07-17,191.9,194.32,191.81,193.99,50520159
134,2023-07-18,193.35,194.33,192.415,193.73,48353774
135,2023-07-19,193.1,198.23,192.65,195.1,80507323
136,2023-07-20,195.09,196.47,192.495,193.13,59581196
137,2023-07-21,194.1,194.97,191.23,191.94,71951683
138,2023-07-24,193.41,194.91,192.25,192.75,45505097
139,2023-07-25,193.33,194.44,192.915,193.62,37283201
140,2023-07-26,193.67,195.64,193.32,194.5,47471868
141,2023-07-27,196.02,197.2,192.55,193.22,47460180
142,2023-07-28,194.67,196.626,194.14,195.83,48291443
143,2023-07-31,196.06,196.49,195.26,196.45,38824113
144,2023-08-01,196.235,196.73,195.28,195.605,35281426
145,2023-08-02,195.04,195.18,191.8507,192.58,50389327
146,2023-08-03,191.57,192.37,190.69,191.17,62243282
147,2023-08-04,185.52,187.38,181.92,181.99,115956841
148,2023-08-07,182.13,183.13,177.35,178.85,97576069
149,2023-08-08,179.69,180.27,177.58,179.8,67823003
150,2023-08-09,180.87,180.93,177.01,178.19,60378492
151,2023-08-10,179.48,180.75,177.6,177.97,54686851
152,2023-08-11,177.32,178.62,176.55,177.79,52036672
153,2023-08-14,177.97,179.69,177.305,179.46,43675627
154,2023-08-15,178.88,179.48,177.05,177.45,43622593
